restaurant,city,features
"JAEGER'S ORIGINAL SEAFOOD TAVERN", "new_orleans", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Private_Rooms_Available No_Reservations Seafood Excellent_Food Good_Service Good_Decor $15-$30"
"BRIGTSEN'S", "new_orleans", "Wheelchair_Access Good_Out_of_Town_Business Very_Busy_-_Reservations_a_Must Hip_Place_To_Be Cajun Near-perfect_Food Extraordinary_Service Excellent_Decor $30-$50"
"Messina's", "new_orleans", "Excellent_Food Good_Service Good_Decor below_$15"
"TONY ANGELLO'S", "new_orleans", "Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Very_Busy_-_Reservations_a_Must Italian Extraordinary_Food Extraordinary_Service Excellent_Decor $15-$30"
"GREAT WALL", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays No_Reservations Chinese Excellent_Food Excellent_Service Fair_Decor below_$15"
"MR. ED'S", "new_orleans", "Credit_cards_are_not_accepted Po'_Boys Other_Quick_Food Good_Food Good_Service Good_Decor $15-$30"
"MORTON'S OF CHICAGO", "new_orleans", "Long_Drive Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Up_and_Coming Fine_for_Dining_Alone American Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"FRIENDS", "new_orleans", "Good_for_Younger_Kids Open_on_Mondays Open_on_Sundays Dining_Outdoors Entertainment Dancing Continental Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"GRILL ROOM", "new_orleans", "Fabulous_Wine_Lists Wheelchair_Access Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Romantic Very_Busy_-_Reservations_a_Must Great_for_People_Watching Private_Rooms_Available Need_To_Dress Hip_Place_To_Be Classic_Hotel_Dining Game Fine_for_Dining_Alone Dancing Open_for_Breakfast American Near-perfect_Food Near-perfect_Service Near-perfect_Decor $30-$50"
"CREECH'S B.B.Q.", "new_orleans", "Takeout_Available Up_and_Coming No_Reservations Credit_cards_are_not_accepted Bar-B-Q Good_Food Good_Service Good_Decor $15-$30"
"Whole Food Market", "new_orleans", "Extraordinary_Food Good_Service Good_Decor below_$15"
"BARROW'S", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available No_Reservations Credit_cards_are_not_accepted Seafood Soul_Food Excellent_Food Excellent_Service Fair_Decor below_$15"
"TORTORICI'S", "new_orleans", "Takeout_Available Open_on_Mondays Open_on_Sundays Private_Parties No_Reservations An_Historic_Spot Italian Excellent_Food Excellent_Service Good_Decor $15-$30"
"COMPAGNO'S", "new_orleans", "Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene No_Reservations An_Historic_Spot Fine_for_Dining_Alone Traditional Italian Good_Food Excellent_Service Good_Decor below_$15"
"PASTABILITIES", "new_orleans", "Italian Good_Food Good_Service Good_Decor $15-$30"
"NEW ORLEANS HAMBURGERS & SEAFOOD", "new_orleans", "Good_for_Younger_Kids Wheelchair_Access For_the_Young_and_Young_at_Heart Takeout_Available Open_on_Mondays Open_on_Sundays Place_for_Singles Up_and_Coming Hamburgers Excellent_Food Excellent_Service Excellent_Decor below_$15"
"HOME FURNISHINGS CAFE", "new_orleans", "Takeout_Available Open_on_Mondays Open_on_Sundays No_Reservations Fine_for_Dining_Alone Credit_cards_are_not_accepted American Excellent_Food Good_Service Good_Decor below_$15"
"Isadora (CLOSED)", "new_orleans", "Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Game Continental Excellent_Food Excellent_Service Extraordinary_Decor $15-$30"
"TONEY'S AVENUE CAFE", "new_orleans", "Takeout_Available Open_on_Mondays Open_on_Sundays No_Reservations Italian Excellent_Food Excellent_Service Good_Decor below_$15"
"ALEX PATOUT'S LOUISIANA RESTAURANT", "new_orleans", "Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Up_and_Coming Need_To_Dress Cajun Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"O'HENRY'S", "new_orleans", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Open_on_Mondays Open_on_Sundays Place_for_Singles No_Reservations American Good_Food Good_Service Good_Decor below_$15"
"Amaury's Cafe", "new_orleans", "Cuban Good_Food Good_Service Good_Decor $15-$30"
"Garden Cafe (CLOSED)", "new_orleans", "Open_on_Mondays Open_on_Sundays Health_Food Excellent_Food Good_Service Good_Decor below_$15"
"Palm Court Jazz Cafe", "new_orleans", "Excellent_Food Excellent_Service Extraordinary_Decor $15-$30"
"COMMANDER'S PALACE", "new_orleans", "Fabulous_Wine_Lists Good_Out_of_Town_Business Open_on_Mondays Open_on_Sundays Relaxed_Senior_Scene Very_Busy_-_Reservations_a_Must Power_Brokers Great_for_People_Watching Private_Rooms_Available Dining_Outdoors Need_To_Dress Hip_Place_To_Be An_Historic_Spot Health_Conscious_Menus Game Weekend_Jazz_Brunch Special_Brunch_Menu Haute_Creole Near-perfect_Food Near-perfect_Service Near-perfect_Decor $30-$50"
