restaurant,features
0, 92 80 204 147 148 173 139 187 65 91 88 0
1, 225 90 217 106 27 134 69 64 1
2, 65 91 88 229
3, 147 148 179 217 113 68 69 64 0
4, 92 225 80 204 147 148 139 36 65 66 72 229
5, 44 165 149 89 91 88 0
6, 124 90 147 148 214 77 6 68 66 64 1
7, 92 147 148 54 62 48 42 65 66 64 0
8, 71 225 90 147 148 179 181 217 94 173 136 106 37 86 77 48 146 6 134 135 133 1
9, 204 214 139 44 15 89 91 88 0
10, 68 91 88 229
11, 92 225 80 204 139 44 187 191 65 66 72 229
12, 204 147 148 172 139 7 113 65 66 88 0
13, 225 80 204 147 148 179 139 7 77 209 113 89 66 88 229
14, 113 89 91 88 0
15, 92 225 80 204 147 148 164 214 98 65 66 64 229
16, 204 147 148 139 77 44 6 65 91 88 229
17, 90 147 148 86 42 65 66 67 0
18, 204 147 148 139 113 65 66 88 229
19, 90 147 148 214 136 27 65 66 64 0
20, 92 80 147 148 164 139 6 89 91 88 229
21, 46 89 91 88 0
22, 147 148 104 65 91 88 229
23, 65 66 67 0
24, 71 90 147 148 179 217 170 94 173 54 136 106 7 103 86 223 198 101 134 135 133 1
25, 147 148 164 54 78 81 39 65 91 88 229
26, 71 90 179 181 217 173 136 101 68 69 64 1
27, 92 225 80 204 147 148 164 139 55 65 91 72 229
28, 13 65 66 88 229
29, 225 80 204 147 148 172 139 49 65 91 72 229
30, 225 90 147 148 179 181 173 86 198 113 68 69 67 0
31, 225 204 147 148 172 139 36 68 66 67 0
32, 90 147 148 217 170 94 173 7 223 198 101 68 69 67 1
33, 225 204 147 148 173 139 77 198 42 65 66 64 0
34, 92 80 204 147 148 179 139 44 6 65 66 88 229
35, 225 90 80 147 148 164 217 170 94 172 214 7 86 77 43 102 134 69 67 0
36, 178 137 65 66 88 0
37, 225 90 147 148 179 170 172 42 68 66 64 0
38, 225 80 204 147 148 164 172 214 84 68 66 88 0
39, 92 225 80 204 147 148 164 54 139 62 48 187 89 91 64 0
40, 225 80 204 147 148 172 214 209 113 68 66 88 0
41, 71 225 90 147 148 179 181 217 170 94 173 139 136 7 101 68 69 67 1
42, 56 89 91 88 0
43, 92 204 147 148 139 13 36 65 91 72 229
44, 80 147 148 178 214 44 129 68 91 72 229
45, 225 80 204 147 148 7 78 81 44 165 149 68 91 64 229
46, 56 89 91 88 0
47, 71 225 90 147 148 181 217 172 136 37 86 62 84 68 69 133 1
48, 56 89 91 88 0
49, 71 80 173 103 86 223 198 42 65 66 64 0
50, 225 80 204 147 148 164 139 44 165 149 68 66 72 229
51, 92 80 204 147 148 164 54 139 146 6 89 91 64 229
52, 225 147 148 217 102 68 66 64 0
53, 147 148 139 7 198 6 89 91 88 229
54, 225 147 148 179 173 214 113 65 66 88 0
55, 92 225 80 204 147 148 172 139 198 209 6 65 66 88 229
56, 225 204 147 148 178 139 119 146 6 165 149 89 91 168 229
57, 147 148 164 173 214 113 65 66 64 0
58, 92 80 204 147 148 139 55 65 66 88 229
59, 90 147 148 7 102 68 66 64 0
60, 225 147 148 54 37 7 86 77 198 42 89 91 64 0
61, 225 90 147 148 217 173 54 136 101 68 69 67 1
62, 92 225 80 204 147 148 172 27 65 66 88 0
63, 225 147 148 172 139 62 48 129 68 66 64 0
64, 225 80 204 147 148 139 44 126 129 89 91 88 229
65, 225 204 147 148 56 68 69 64 0
66, 147 148 181 217 54 214 198 84 65 66 64 0
67, 147 148 115 65 66 64 0
68, 113 68 66 67 0
69, 225 204 147 148 179 170 172 139 37 77 146 42 65 66 88 0
70, 225 80 204 147 148 172 139 113 65 66 72 0
71, 225 80 204 147 148 172 36 65 66 64 229
72, 6 89 91 88 0
73, 225 147 148 103 86 62 196 68 66 64 0
74, 92 225 80 204 147 148 214 6 65 66 64 229
75, 204 147 148 178 139 115 68 66 88 0
76, 147 148 178 209 56 191 65 91 72 229
77, 204 147 148 44 55 65 91 72 229
78, 225 147 148 217 136 37 103 86 62 77 146 101 65 69 67 0
79, 147 148 103 198 27 68 69 67 0
80, 225 80 147 148 139 7 198 44 165 149 65 91 72 229
81, 80 204 147 148 54 139 103 146 49 104 65 91 72 229
82, 225 147 148 173 54 37 86 77 198 27 65 66 64 0
83, 225 80 147 148 178 139 228 65 66 88 0
84, 204 147 148 139 119 86 146 55 89 66 88 229
85, 44 39 89 91 88 0
86, 225 80 204 172 139 44 113 68 66 64 0
87, 80 147 148 164 198 44 165 149 65 91 88 229
88, 225 80 204 147 148 173 139 48 223 198 209 6 89 66 64 0
89, 225 80 204 147 148 164 179 173 214 86 56 65 66 88 0
90, 225 80 204 164 173 139 62 77 48 187 89 91 88 0
91, 147 148 218 68 66 88 229
92, 162 89 91 88 0
93, 225 147 148 172 214 198 6 89 66 64 0
94, 113 89 91 88 0
95, 225 147 148 173 54 139 7 56 65 66 64 0
96, 204 147 148 164 54 139 78 81 146 44 39 65 91 88 229
97, 225 204 147 148 173 36 65 66 64 0
98, 225 204 147 148 178 139 7 44 187 68 66 64 229
99, 90 80 204 147 148 164 181 217 94 173 54 214 106 43 102 68 69 67 0
100, 225 90 147 148 179 217 170 94 106 199 134 69 64 1
101, 147 148 43 36 68 69 64 0
102, 225 90 147 148 179 181 172 139 37 103 77 223 198 146 42 68 66 133 0
103, 147 148 44 218 89 91 88 0
104, 225 80 204 147 148 173 139 119 6 65 66 88 0
105, 225 90 147 148 179 181 170 94 173 37 103 62 42 68 69 67 1
106, 225 80 204 147 148 172 139 36 68 69 64 0
107, 6 15 89 91 88 0
108, 147 148 214 139 198 46 89 91 88 229
109, 92 225 80 147 148 139 187 65 91 72 229
110, 225 80 204 147 148 94 119 7 77 146 44 165 149 68 69 64 229
111, 92 80 204 147 148 139 187 65 66 72 229
112, 23 80 147 148 106 6 89 91 64 229
113, 147 148 62 78 81 39 89 91 88 229
114, 92 225 80 204 173 139 77 150 187 68 66 88 0
115, 225 204 147 148 172 214 113 89 91 88 0
116, 225 147 148 36 65 66 88 229
117, 225 90 147 148 181 217 173 54 136 84 134 69 67 1
118, 147 148 44 55 65 66 88 229
119, 225 80 147 148 164 181 172 54 214 113 89 91 88 0
120, 225 80 147 148 217 139 7 56 68 69 64 0
121, 147 148 139 36 89 91 88 229
122, 80 204 147 148 173 178 139 106 44 165 149 65 91 72 229
123, 225 90 179 217 136 84 68 69 64 0
124, 225 90 147 148 181 113 68 69 67 1
125, 92 225 80 204 179 173 139 187 68 66 88 0
126, 225 173 113 68 66 64 0
127, 90 147 148 179 217 170 94 173 37 62 77 146 6 68 69 67 1
128, 147 148 146 44 165 149 65 91 88 229
129, 225 80 204 147 148 119 77 78 81 146 39 65 91 64 229
130, 147 148 178 139 44 165 149 89 91 72 229
131, 147 148 139 115 68 66 88 0
132, 89 91 88 0
133, 225 204 147 148 178 139 44 187 68 91 72 229
134, 113 89 91 88 0
135, 80 147 148 214 77 113 65 66 88 229
136, 225 178 139 56 68 66 88 0
137, 89 91 88 0
138, 147 148 170 94 214 139 106 77 42 162 68 66 64 0
139, 147 148 54 106 86 43 102 68 69 64 0
140, 92 80 147 148 214 86 44 162 165 149 68 66 72 229
141, 80 204 147 148 139 146 55 65 66 72 229
